Handle,Title,Body HTML,Collection Type,Published,Sort Order,Template Suffix,Image Src,Image Alt Text,SEO Title,SEO Description,Must Match,Rule: Column,Rule: Relation,Rule: Condition
3-piece-sets,3 Piece Sets,"<p>3 Piece Sets from the Raa Vedic collection, cut for real Indian bodies and real days.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-black-01.jpg,"3 Piece Sets, Black Printed Flared Cotton Kurta Pant Dupatta Set",3 Piece Sets | Raa Vedic,"3 Piece Sets from the Raa Vedic collection, cut for real Indian bodies and real days.",all conditions,Tag,Equals,3 Piece Set
2-piece-sets,2 Piece Sets,"<p>2 Piece Sets from the Raa Vedic collection, cut for real Indian bodies and real days.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10053a-white-and-pink-01.jpg,"2 Piece Sets, White & Pink Floral Printed Cotton Straight Kurta Pant Set",2 Piece Sets | Raa Vedic,"2 Piece Sets from the Raa Vedic collection, cut for real Indian bodies and real days.",all conditions,Tag,Equals,2 Piece Set
kurtas,Kurtas,"<p>Kurtas from the Raa Vedic collection, cut for real Indian bodies and real days.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10016-white-and-black-01.jpg,"Kurtas, White & Black Printed Cotton Satin Kurta",Kurtas | Raa Vedic,"Kurtas from the Raa Vedic collection, cut for real Indian bodies and real days.",all conditions,Tag,Equals,Kurta
tops,Tops,"<p>Tops from the Raa Vedic collection, cut for real Indian bodies and real days.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10061-grey-01.jpg,"Tops, Grey Floral Printed Romanam Top",Tops | Raa Vedic,"Tops from the Raa Vedic collection, cut for real Indian bodies and real days.",all conditions,Tag,Equals,Top
gowns,Gowns,"<p>Gowns from the Raa Vedic collection, cut for real Indian bodies and real days.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/6148-black-01.jpg,"Gowns, Black Floral Printed Georgette Anarkali Gown for Women",Gowns | Raa Vedic,"Gowns from the Raa Vedic collection, cut for real Indian bodies and real days.",all conditions,Tag,Equals,Gown
cotton,Cotton,"<p>Everything we make in Cotton, sourced from mills we have worked with for years.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-navy-01.jpg,"Cotton, Navy Printed Flared Cotton Kurta Pant Dupatta Set",Cotton | Raa Vedic,"Everything we make in Cotton, sourced from mills we have worked with for years.",all conditions,Tag,Equals,Cotton
cotton-flex,Cotton Flex,"<p>Everything we make in Cotton Flex, sourced from mills we have worked with for years.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10009-navy-01.jpg,"Cotton Flex, Navy Cotton Flex Straight Kurta",Cotton Flex | Raa Vedic,"Everything we make in Cotton Flex, sourced from mills we have worked with for years.",all conditions,Tag,Equals,Cotton Flex
cotton-satin,Cotton Satin,"<p>Everything we make in Cotton Satin, sourced from mills we have worked with for years.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10013-white-and-black-01.jpg,"Cotton Satin, White & Black Embroidered Cotton Satin Straight Kurta Pant Dupatta Set",Cotton Satin | Raa Vedic,"Everything we make in Cotton Satin, sourced from mills we have worked with for years.",all conditions,Tag,Equals,Cotton Satin
rayon,Rayon,"<p>Everything we make in Rayon, sourced from mills we have worked with for years.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10022-white-and-navy-01.jpg,"Rayon, White & Navy Embroidered Rayon Straight Kurta Pant Dupatta Set",Rayon | Raa Vedic,"Everything we make in Rayon, sourced from mills we have worked with for years.",all conditions,Tag,Equals,Rayon
romanam,Romanam,"<p>Everything we make in Romanam, sourced from mills we have worked with for years.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10069-green-01.jpg,"Romanam, Green Printed Romanam Top",Romanam | Raa Vedic,"Everything we make in Romanam, sourced from mills we have worked with for years.",all conditions,Tag,Equals,Romanam
fendy-silk,Fendy Silk,"<p>Everything we make in Fendy Silk, sourced from mills we have worked with for years.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-peach-01.jpg,"Fendy Silk, Peach Floral Printed Fendy Silk Straight Kurta Pant Set |",Fendy Silk | Raa Vedic,"Everything we make in Fendy Silk, sourced from mills we have worked with for years.",all conditions,Tag,Equals,Fendy Silk
office-wear,Office Wear,<p>Pieces chosen for Office Wear.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10007-sage-green-01.jpg,"Office Wear, Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set",Office Wear | Raa Vedic,Pieces chosen for Office Wear.,all conditions,Tag,Equals,Office Wear
festive,Festive,<p>Pieces chosen for Festive.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10031-navy-01.jpg,"Festive, Navy Embroidered Velvet Straight Kurta Pant Set",Festive | Raa Vedic,Pieces chosen for Festive.,all conditions,Tag,Equals,Festive
family-gatherings,Family Gatherings,<p>Pieces chosen for Family Gatherings.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10054-a-white-and-pink-01.jpg,"Family Gatherings, White & Pink Floral Printed Cotton Straight Kurta Pant Set",Family Gatherings | Raa Vedic,Pieces chosen for Family Gatherings.,all conditions,Tag,Equals,Family Gatherings
daily-wear,Daily Wear,<p>Pieces chosen for Daily Wear.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10052a-yellow-01.jpg,"Daily Wear, Yellow Embroidered Cotton Straight Kurta Pant Set",Daily Wear | Raa Vedic,Pieces chosen for Daily Wear.,all conditions,Tag,Equals,Daily Wear
casual,Casual,<p>Pieces chosen for Casual.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10009-b-pink-01.jpg,"Casual, B.Pink Cotton Flex Straight Kurta",Casual | Raa Vedic,Pieces chosen for Casual.,all conditions,Tag,Equals,Casual
daytime-celebrations,Daytime Celebrations,<p>Pieces chosen for Daytime Celebrations.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10041-peach-01.jpg,"Daytime Celebrations, Peach Embroidered Rayon Straight Kurta Pant Dupatta Set",Daytime Celebrations | Raa Vedic,Pieces chosen for Daytime Celebrations.,all conditions,Tag,Equals,Daytime Celebrations
wedding,Wedding,<p>Pieces chosen for Wedding.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10007-sage-green-01.jpg,"Wedding, Sage Green Embroidered Shimmer Tissue Straight Kurta Pant Dupatta Set",Wedding | Raa Vedic,Pieces chosen for Wedding.,all conditions,Tag,Equals,Wedding
black,Black,<p>Every Black piece in the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-black-01.jpg,"Black, Black Printed Flared Cotton Kurta Pant Dupatta Set",Black | Raa Vedic,Every Black piece in the collection.,all conditions,Tag,Equals,Black
navy,Navy,<p>Every Navy piece in the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-navy-01.jpg,"Navy, Navy Printed Flared Cotton Kurta Pant Dupatta Set",Navy | Raa Vedic,Every Navy piece in the collection.,all conditions,Tag,Equals,Navy
blue,Blue,<p>Every Blue piece in the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-blue-01.jpg,"Blue, Blue Floral Printed Fendy Silk Straight Kurta Pant Set",Blue | Raa Vedic,Every Blue piece in the collection.,all conditions,Tag,Equals,Blue
white,White,<p>Every White piece in the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10019-blue-and-white-01.jpg,"White, White & Blue Embroidered Cotton Kurta",White | Raa Vedic,Every White piece in the collection.,all conditions,Tag,Equals,White
