Handle,Command,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Image Command,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status,Metafield: custom.style_code [single_line_text_field],Metafield: custom.fabric [single_line_text_field],Metafield: custom.colour [single_line_text_field],Metafield: custom.fit [single_line_text_field],Metafield: custom.neckline [single_line_text_field],Metafield: custom.sleeves [single_line_text_field],Metafield: custom.bottom [single_line_text_field],Metafield: custom.dupatta [single_line_text_field],Metafield: custom.pattern [single_line_text_field],Metafield: custom.length [single_line_text_field],Metafield: custom.care_instructions [single_line_text_field],Metafield: custom.net_quantity [single_line_text_field],Metafield: custom.model_size [single_line_text_field],Metafield: custom.country_of_origin [single_line_text_field],Metafield: custom.marketed_by [multi_line_text_field],Metafield: custom.manufactured_by [multi_line_text_field]
black-printed-flared-cotton-kurta-pant-dupatta-set,MERGE,Black Printed Flared Cotton Kurta Pant Dupatta Set,"<p>This Black Printed 3-Piece Kurta Pant Dupatta Set, crafted from soft and breathable cotton fabric for all-day comfort. The beautifully flared kurta features a graceful silhouette enhanced with intricate geometric and floral prints, complemented by a stylish V-neckline and detailed border accents.</p><p>Paired with solid black straight pants and a coordinated printed dupatta, this ensemble offers a perfect blend of traditional elegance and contemporary style.</p>",Raa Vedic,Kurta Set,"3 Piece Set, Cotton, Above 3500, Under the Neem Trees, New Arrival, Black, Bestseller, Flared, Printed, Floral",TRUE,Size,S,10001-BLACK-S,700,shopify,10,deny,manual,3599,,TRUE,TRUE,8903629371983,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-black-jul-01.jpg,1,"Black Printed Flared Cotton Kurta Pant Dupatta Set, view 1",REPLACE,FALSE,Black Printed Flared Cotton Kurta Pant Dupatta Set | Raa Vedic,"This Black Printed 3-Piece Kurta Pant Dupatta Set, crafted from soft and breathable cotton fabric for all-day comfort. The beautifully flared kurta features a graceful silhouette enhanced with intricate geometric and floral prints, complemented by a stylish V-neckline and detailed border accents.Paired with solid black",g,active,10001,Cotton,Black,Flared Fit,V-Neck,Three-Quarter Sleeves,Solid Straight Cotton Pants,Printed Cotton Dupatta,Printed Floral,,Gentle Machine Wash or Hand Wash Separately,3,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
black-printed-flared-cotton-kurta-pant-dupatta-set,,,,,,,,Size,M,10001-BLACK-M,700,shopify,10,deny,manual,3599,,TRUE,TRUE,8903629371990,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-black-jul-02.jpg,2,"Black Printed Flared Cotton Kurta Pant Dupatta Set, view 2",,,,,g,,,,,,,,,,,,,,,,,
black-printed-flared-cotton-kurta-pant-dupatta-set,,,,,,,,Size,L,10001-BLACK-L,700,shopify,10,deny,manual,3599,,TRUE,TRUE,8903629372003,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-black-jul-03.jpg,3,"Black Printed Flared Cotton Kurta Pant Dupatta Set, view 3",,,,,g,,,,,,,,,,,,,,,,,
black-printed-flared-cotton-kurta-pant-dupatta-set,,,,,,,,Size,XL,10001-BLACK-XL,700,shopify,10,deny,manual,3599,,TRUE,TRUE,8903629372010,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-black-jul-04.jpg,4,"Black Printed Flared Cotton Kurta Pant Dupatta Set, view 4",,,,,g,,,,,,,,,,,,,,,,,
black-printed-flared-cotton-kurta-pant-dupatta-set,,,,,,,,Size,XXL,10001-BLACK-XXL,700,shopify,10,deny,manual,3599,,TRUE,TRUE,8903629372027,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-black-jul-05.jpg,5,"Black Printed Flared Cotton Kurta Pant Dupatta Set, view 5",,,,,g,,,,,,,,,,,,,,,,,
navy-printed-flared-cotton-kurta-pant-dupatta-set,MERGE,Navy Printed Flared Cotton Kurta Pant Dupatta Set,"<p>This Navy Printed 3-Piece Kurta Pant Dupatta Set, crafted from premium cotton fabric for breathable comfort and effortless style. The beautifully flared kurta features intricate traditional block-inspired prints with an elegant V-neckline and detailed border accents, creating a graceful silhouette.</p><p>Paired with solid straight pants and a coordinated printed dupatta, this ensemble is perfect for festive occasions, family gatherings, office wear, and cultural celebrations.</p>",Raa Vedic,Kurta Set,"3 Piece Set, Cotton, Above 3500, Under the Neem Trees, New Arrival, Navy, Flared, Printed, Festive, Office Wear, Family Gatherings",TRUE,Size,S,10001-NAVY-S,700,shopify,10,deny,manual,3599,,TRUE,TRUE,8903629371938,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-navy-jul-01.jpg,1,"Navy Printed Flared Cotton Kurta Pant Dupatta Set, view 1",REPLACE,FALSE,Navy Printed Flared Cotton Kurta Pant Dupatta Set | Raa Vedic,"This Navy Printed 3-Piece Kurta Pant Dupatta Set, crafted from premium cotton fabric for breathable comfort and effortless style. The beautifully flared kurta features intricate traditional block-inspired prints with an elegant V-neckline and detailed border accents, creating a graceful silhouette.Paired with solid str",g,active,10001,Cotton,Navy,Flared Fit,V-Neck,Three-Quarter Sleeves,Solid Straight Cotton Pants,Coordinated Printed Cotton Dupatta,Printed,,Gentle Machine Wash or Hand Wash Separately,3,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
navy-printed-flared-cotton-kurta-pant-dupatta-set,,,,,,,,Size,M,10001-NAVY-M,700,shopify,10,deny,manual,3599,,TRUE,TRUE,8903629371945,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-navy-jul-02.jpg,2,"Navy Printed Flared Cotton Kurta Pant Dupatta Set, view 2",,,,,g,,,,,,,,,,,,,,,,,
navy-printed-flared-cotton-kurta-pant-dupatta-set,,,,,,,,Size,L,10001-NAVY-L,700,shopify,10,deny,manual,3599,,TRUE,TRUE,8903629371952,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-navy-jul-03.jpg,3,"Navy Printed Flared Cotton Kurta Pant Dupatta Set, view 3",,,,,g,,,,,,,,,,,,,,,,,
navy-printed-flared-cotton-kurta-pant-dupatta-set,,,,,,,,Size,XL,10001-NAVY-XL,700,shopify,10,deny,manual,3599,,TRUE,TRUE,8903629371969,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-navy-jul-04.jpg,4,"Navy Printed Flared Cotton Kurta Pant Dupatta Set, view 4",,,,,g,,,,,,,,,,,,,,,,,
navy-printed-flared-cotton-kurta-pant-dupatta-set,,,,,,,,Size,XXL,10001-NAVY-XXL,700,shopify,10,deny,manual,3599,,TRUE,TRUE,8903629371976,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-navy-jul-05.jpg,5,"Navy Printed Flared Cotton Kurta Pant Dupatta Set, view 5",,,,,g,,,,,,,,,,,,,,,,,
navy-printed-flared-cotton-kurta-pant-dupatta-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-navy-jul-06.jpg,6,"Navy Printed Flared Cotton Kurta Pant Dupatta Set, view 6",,,,,,,,,,,,,,,,,,,,,,
navy-printed-flared-cotton-kurta-pant-dupatta-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-navy-jul-07.jpg,7,"Navy Printed Flared Cotton Kurta Pant Dupatta Set, view 7",,,,,,,,,,,,,,,,,,,,,,
